Source DataFile                                                              ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-----------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20220613\PICO_202206140916_caloxy_MiSa1192_445_LL_data.csv , 2022/06/14, 09:19:47,    1655209187064,--Not Acquired--     ,--Not Acquired--     , -610.50,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     45.459,   863.840,   2548.400,   1684.560,  0.6610,  1.9501,   384.40,  0.2040,     0.000,    0.000,  0.505,      393,  0.334,     1492,  0.162,    83669,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.549,    27.80,    70.86,  0.908,       6.93,    0.000,    600.00, 1347.09,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220613\PICO_202206140916_caloxy_MiSa1192_445_LL_data.csv , 2022/06/14, 09:19:49,    1655209189078,--Not Acquired--     ,--Not Acquired--     , -607.93,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     13.140,   919.490,   2537.150,   1617.660,  0.6376,  1.7593,   376.69,  0.0960,     0.000,    0.000,  0.532,      374,  0.330,     1219,  0.138,    71904,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.368,    40.31,    95.45,  0.590,      12.78,    0.009,    600.00,  887.89,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220613\PICO_202206140916_caloxy_MiSa1192_445_LL_data.csv , 2022/06/14, 09:22:50,    1655209370087,--Not Acquired--     ,--Not Acquired--     , -541.71,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      8.315,  1771.800,   2733.410,    961.610,  0.3518,  0.5427,   406.64,  0.0000,     0.000,    0.000,  0.573,      712,  0.146,     3542,  0.281,    39497,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.449,    33.96,    83.17,  0.146,      20.10,    0.000,    600.00,  518.06,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220613\PICO_202206140916_caloxy_MiSa1192_445_LL_data.csv , 2022/06/14, 09:22:52,    1655209372087,--Not Acquired--     ,--Not Acquired--     , -612.13,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     22.322,   867.520,   2463.560,   1596.040,  0.6479,  1.8398,   398.87,  0.0980,     0.000,    0.000,  0.369,      374,  0.498,     1299,  0.133,    48479,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.508,    55.44,   139.01,  0.521,      11.75,    0.005,    600.00, 1143.67,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220613\PICO_202206140916_caloxy_MiSa1192_445_LL_data.csv , 2022/06/14, 09:25:53,    1655209553082,--Not Acquired--     ,--Not Acquired--     , -457.61,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,     37.016,  2282.810,   3208.320,    925.510,  0.2885,  0.4054,   334.85,  0.0000,     0.000,    0.000,  0.626,      150,  0.231,     1364,  0.143,    26548,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.017,   118.28,   238.51,  0.193,      23.73,    0.003,    600.00,  374.51,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220613\PICO_202206140916_caloxy_MiSa1192_445_LL_data.csv , 2022/06/14, 09:25:55,    1655209555082,--Not Acquired--     ,--Not Acquired--     , -613.65,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     17.098,   861.740,   2527.560,   1665.820,  0.6591,  1.9331,   388.31,  0.1040,     0.000,    0.000,  0.396,      378,  0.479,     1275,  0.126,    48213,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.447,    60.25,   147.44,  0.554,      10.87,    0.006,    600.00,  978.35,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220613\PICO_202206140916_caloxy_MiSa1192_445_LL_data.csv , 2022/06/14, 09:28:56,    1655209736071,--Not Acquired--     ,--Not Acquired--     , -281.14,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,     17.207,  2591.110,   3266.850,    675.740,  0.2068,  0.2608,   231.62,  0.0100,     0.000,    0.000,  0.712,      150,  0.189,     1570,  0.100,    20878,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.400,   287.79,   402.84,  0.135,      40.43,    0.005,    600.00,  198.20,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220613\PICO_202206140916_caloxy_MiSa1192_445_LL_data.csv , 2022/06/14, 09:28:58,    1655209738058,--Not Acquired--     ,--Not Acquired--     , -615.72,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.154,   856.500,   2459.250,   1602.750,  0.6517,  1.8713,   378.59,  0.0990,     0.000,    0.000,  0.415,      393,  0.460,     1344,  0.125,    47605,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.380,    62.79,   149.44,  0.534,      10.31,    0.005,    600.00,  958.00,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220613\PICO_202206140916_caloxy_MiSa1192_445_LL_data.csv , 2022/06/14, 09:31:59,    1655209919058,--Not Acquired--     ,--Not Acquired--     , -613.43,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     38.836,   846.140,   2433.610,   1587.470,  0.6523,  1.8761,   387.43,  0.2130,     0.000,    0.000,  0.478,      423,  0.369,     1613,  0.153,    73879,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.579,    32.40,    83.55,  0.889,       6.70,    0.000,    600.00, 1160.49,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220613\PICO_202206140916_caloxy_MiSa1192_445_LL_data.csv , 2022/06/14, 09:32:01,    1655209921060,--Not Acquired--     ,--Not Acquired--     , -606.91,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      8.140,   892.810,   2419.080,   1526.270,  0.6309,  1.7095,   385.54,  0.1320,     0.000,    0.000,  0.514,      419,  0.349,     1401,  0.137,    63422,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.464,    43.50,   107.18,  0.610,      10.48,    0.007,    600.00,  937.13,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
